cluster_id,cluster_size,n_supermarkets,supermarkets_present,category,match_type,known_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name_consensus,avg_pairwise_score,min_pairwise_score
15975,1,1,ASDA,food_cupboard,own_brand,,standard,268.3,g,,Roast Garlic Mayonnaise,,
15976,1,1,ASDA,food_cupboard,branded,Heinz,,400.0,ml,,Mash Ups Mayoracha Mayonnaise Sriracha Sauce,,
15977,1,1,ASDA,food_cupboard,own_brand,,standard,271.7,g,,Chipotle Chilli Mayonnaise,,
15978,1,1,ASDA,food_cupboard,own_brand,,value,200.0,g,,English Mustard,,
15979,1,1,Sains,free-from,branded,Hellmann'S,,250.0,ml,,Squeezy Mayonnaise Chilli Charger,,
15980,1,1,Sains,food_cupboard,branded,Hellmann'S,,250.0,ml,,Real Squeezy Mayonnaise,,
15981,1,1,ASDA,food_cupboard,own_brand,,standard,185.0,g,,Mild French Mustard,,
15982,1,1,ASDA,food_cupboard,branded,Heinz,,400.0,ml,,Mash Ups Mayomust Mayonnaise Mustard Sauce,,
15983,1,1,ASDA,food_cupboard,branded,Heinz,,239.7,g,,Mild Yellow Mustard,,
15984,1,1,Sains,food_cupboard,branded,Heinz,,880.0,g,,Tomato Ketchup Less Sugar,,
15985,1,1,Tesco,food_cupboard,branded,Heinz,,900.0,g,,Top Down Squeezy Tomato Ketchup Sauce 910,,
15986,1,1,Sains,food_cupboard,branded,Leon,,240.0,ml,,Aioli Smoked Garlic,,
15987,1,1,Sains,food_cupboard,branded,Leon,,240.0,ml,,Smoked Garlic Aioli,,
15988,1,1,ASDA,food_cupboard,branded,Heinz,,490.0,g,,Seriously Good Light Mayonnaise,,
15989,1,1,ASDA,food_cupboard,branded,Heinz,,400.0,ml,,Mash Ups Mayocue Mayonnaise Bbq Sauce,,
15990,1,1,Morrisons,food_cupboard,branded,Heinz,,601.7,g,,Salad Cream Original,,
15991,1,1,ASDA,food_cupboard,branded,Heinz,,800.0,ml,,Tomato Ketchup Less Sugar and Salt,,
15992,1,1,Sains,food_cupboard,branded,Leon,,240.0,ml,,Korean Style Mayo,,
15993,1,1,ASDA,food_cupboard,branded,Heinz,,218.8,ml,,American Style Smokey Baconnaise Sauce,,
15994,1,1,ASDA,food_cupboard,own_brand,,standard,964.3,g,,Classic Tomato Ketchup,,
