ensemble_cluster_id,product_idx,supermarket,score,pass
14370,29518,Morrisons,0.9336,1
12955,26071,Morrisons,0.9335,1
9544,62621,Tesco,0.9334,1
4112,31777,Sains,0.9334,1
11191,13480,ASDA,0.9334,1
10902,14980,ASDA,0.9331,1
12509,21422,Morrisons,0.933,1
8853,52156,Tesco,0.933,1
1040,35267,Sains,0.933,1
12129,57331,Tesco,0.9326,1
4534,21470,Morrisons,0.9325,1
11191,47675,Sains,0.9325,1
5026,18094,Morrisons,0.9324,1
10224,62506,Tesco,0.9323,1
9613,45340,Sains,0.932,1
5850,50412,Tesco,0.9317,1
12147,14987,ASDA,0.9316,1
10735,16927,ASDA,0.9316,1
12447,22647,Morrisons,0.9316,1
8556,21869,Morrisons,0.9316,1
6841,18975,Morrisons,0.9315,1
14091,5143,ASDA,0.9315,1
5643,30255,Morrisons,0.9315,1
1833,63801,Tesco,0.9307,1
6193,31086,Morrisons,0.9307,1
4899,62411,Tesco,0.9305,1
11253,54137,Tesco,0.9304,1
13850,28636,Morrisons,0.9301,1
7039,31030,Morrisons,0.9298,1
2554,27766,Morrisons,0.9297,1
13433,13379,ASDA,0.9297,1
2607,30557,Morrisons,0.9296,1
4995,38350,Sains,0.9295,1
12583,27108,Morrisons,0.9295,1
2784,52891,Tesco,0.9295,1
13736,18668,Morrisons,0.9295,1
14379,30961,Morrisons,0.9294,1
9526,14210,ASDA,0.9294,1
4397,27042,Morrisons,0.9293,1
6425,25596,Morrisons,0.9293,1
11905,50077,Tesco,0.9293,1
3006,63258,Tesco,0.9293,1
3767,23804,Morrisons,0.9291,1
2565,30563,Morrisons,0.9291,1
13450,30640,Morrisons,0.929,1
2582,38609,Sains,0.9289,1
13772,26565,Morrisons,0.9288,1
12626,21931,Morrisons,0.9287,1
8464,31223,Morrisons,0.9286,1
3703,33763,Sains,0.9285,1
14127,27023,Morrisons,0.9285,1
7691,51259,Tesco,0.9285,1
8400,43556,Sains,0.9284,1
3131,49583,Tesco,0.9284,1
9084,45706,Sains,0.9283,1
13900,19554,Morrisons,0.9283,1
13038,7657,ASDA,0.9283,1
2466,25415,Morrisons,0.9282,1
12450,31040,Morrisons,0.9282,1
7528,23923,Morrisons,0.9281,1
1137,23631,Morrisons,0.928,1
5562,49504,Tesco,0.928,1
4235,56429,Tesco,0.928,1
2810,56809,Tesco,0.928,1
13164,2072,ASDA,0.9279,1
5476,62783,Tesco,0.9277,1
2676,39288,Sains,0.9277,1
4268,23671,Morrisons,0.9276,1
9175,55140,Tesco,0.9275,1
13059,11724,ASDA,0.9274,1
11848,6097,ASDA,0.9272,1
2622,56397,Tesco,0.9272,1
13078,18207,Morrisons,0.9271,1
13755,12146,ASDA,0.9271,1
14363,14637,ASDA,0.9269,1
5605,19080,Morrisons,0.9268,1
8438,31024,Morrisons,0.9268,1
6539,38323,Sains,0.9267,1
2183,64438,Tesco,0.9265,1
5355,23915,Morrisons,0.9265,1
7901,34506,Sains,0.9265,1
8257,63291,Tesco,0.9264,1
4534,53342,Tesco,0.9263,1
