cluster_id,product_idx,supermarket,names,unit_value,unit_type,match_type,avg_pairwise_score,cluster_size,verdict,confidence,reason
2926,17190,Morrisons,Birds Eye Gluten Free 12 Fish Fingers,350.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2926,47757,Sains,Birds Eye Chunky Chip Shop Curry Fish Fingers x6 360g,360.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2926,62088,Tesco,Birds Eye 12 Gluten Free Fish Finger 360G,360.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2942,5552,ASDA,Birds Eye 4 Battered Haddock Fish Fillets,450.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2942,26261,Morrisons,Birds Eye 4 Large Haddock Fillets Battered,450.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2942,41857,Sains,Birds Eye Breaded Haddock Fish Fillets x4 440g,440.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2942,57138,Tesco,Birds Eye 4 Large Breaded Haddock 440G,440.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3086,5802,ASDA,Calippo Cola,400.0,ml,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3086,17057,Morrisons,Calippo Cola Ice Lollies,400.0,ml,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3086,45769,Sains,Calippo Walls Cola Ice Lollies 5x80ml,400.0,ml,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3086,52238,Tesco,Wall's Calippo Mini Cola Ice Lollies 5x80ml,400.0,ml,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3185,5965,ASDA,Aunt Bessie's Crispy & Fluffy Roasties,700.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3185,26581,Morrisons,Aunt Bessie's Roast Potatoes,700.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3185,41544,Sains,Aunt Bessie's Roast Potatoes 720g,720.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3185,59415,Tesco,Aunt Bessie's Crispy & Fluffy Roasties 720G,720.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3564,6578,ASDA,ASDA German Style Salami,115.4,g,own_brand,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3564,19393,Morrisons,Morrisons German Salami,100.0,g,own_brand,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3564,43704,Sains,Sainsbury's French Style Salad 100g,100.0,g,own_brand,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3564,62646,Tesco,Tesco German Salami Selection 120G,120.0,g,own_brand,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3857,7187,ASDA,Philadelphia Light Soft Cheese,170.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3857,19313,Morrisons,Philadelphia Light Low Fat Soft Cream Cheese,170.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3857,43908,Sains,Philadelphia Light Soft Cheese 165g,165.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
3857,56936,Tesco,Philadelphia Light Low Fat Soft Cream Cheese 165G,165.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4152,7710,ASDA,Stagg Chili Dynamite Hot Chili Con Carne,400.0,g,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4152,20898,Morrisons,Stagg Dynamite Hot Chili Con Carne,400.0,g,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4152,35088,Sains,Stagg Dynamite Hot Chilli 400g,400.0,g,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4152,60225,Tesco,Stockwell & Co Chilli Con Carne 392G,392.0,g,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4380,8110,ASDA,Flying Goose Sriracha Hot Chilli Sauce 455ml,455.0,ml,branded,0.0,2,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4380,34270,Sains,Flying Goose Sriracha Hot Chilli Sauce 455ml,455.0,ml,branded,0.0,2,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
