supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name,product_idx,known_brand_clean,product_type,has_unit,has_pack,cat_norm,cluster_size,cluster_id,match_type,avg_pairwise_score
ASDA,2.5,8.1,kg,Bistro by ASDA Melt in the Middle Belgian Chocolate Puddings 2 x 155g (310g),20240413,fresh_food,True,False,Bistro by ASDA Melt in the Middle Belgian Chocolate Puddings 2 x 155g (310g),,,,,2.0,count_x_size,310.0,g,,False,,,,Bistro by ASDA Melt in the Middle Belgian Chocolate Puddings,bistro by asda melt in the middle belgian chocolate puddings,12219,,own_brand,True,True,fresh_food,3,6844,own_brand,0.0
Sains,2.75,10.2,kg,Sainsbury's Melting Middle Chocolate Puddings 2x135g,20240413,fresh_food,True,False,Sainsbury's Melting Middle Chocolate Puddings 2x135g,Sainsbury's,standard,,,2.0,count_x_size,270.0,g,,False,,,,Melting Middle Chocolate Puddings,melting middle chocolate puddings,44604,,own_brand,True,True,fresh_food,3,6844,own_brand,0.0
Tesco,3.25,12.0,kg,Tesco Finest 2 Belgian Chocolate Melt in Middle Puddings 270g,20240413,fresh_food,True,False,Tesco Finest 2 Belgian Chocolate Melt in Middle Puddings 270g,Tesco Finest,premium,Finest,,2.0,leading_count,270.0,g,,False,,,,Belgian Chocolate Melt in Middle Puddings,belgian chocolate melt in middle puddings,54460,,own_brand,True,True,fresh_food,3,6844,own_brand,0.0
ASDA,1.5,15.0,kg,Mallow & Marsh Raspberry Marshmallows Coated in 70% Dark Chocolate,20240413,food_cupboard,False,False,Mallow & Marsh Raspberry Marshmallows Coated in 70% Dark Chocolate,,,,,,,100.0,g,,True,,,{'texture': ['coated']},Mallow and Marsh Raspberry Marshmallows Coated in 70% Dark Chocolate,mallow and marsh raspberry marshmallows coated in 70 dark chocolate,12705,,unbranded,True,False,food_cupboard,3,7140,unbranded,0.0
Sains,2.65,26.5,kg,Mallow & Marsh Raspberry Marshmallows Coated in 70% Dark Chocolate 100g,20240413,food_cupboard,False,False,Mallow & Marsh Raspberry Marshmallows Coated in 70% Dark Chocolate 100g,,,,,,,100.0,g,,False,,,{'texture': ['coated']},Mallow and Marsh Raspberry Marshmallows Coated in 70% Dark Chocolate,mallow and marsh raspberry marshmallows coated in 70 dark chocolate,35342,,unbranded,True,False,food_cupboard,3,7140,unbranded,0.0
Tesco,2.5,25.0,kg,Mallow & Marsh Raspberry Marshmallow Coat Dark Chocolate 100G,20240413,food_cupboard,False,False,Mallow & Marsh Raspberry Marshmallow Coat Dark Chocolate 100G,,,,,,,100.0,g,,False,,,,Mallow and Marsh Raspberry Marshmallow Coat Dark Chocolate,mallow and marsh raspberry marshmallow coat dark chocolate,58244,,unbranded,True,False,food_cupboard,3,7140,unbranded,0.0
ASDA,1.35,15.9,kg,Milkybar Gold Caramel Flavour White Chocolate Sharing Bar,20240413,food_cupboard,False,False,Milkybar Gold Caramel Flavour White Chocolate Sharing Bar,,,,Milkybar,,,84.9,g,,True,,,{'bakery_type': ['white']},Gold Caramel Flavour White Chocolate Sharing Bar,milkybar gold caramel flavor white chocolate sharing bar,12748,Milkybar,branded,True,False,food_cupboard,4,7168,branded,0.0
Morrisons,1.35,15.0,kg,Milkybar White Chocolate Sharing Bar,20240413,food_cupboard,False,False,Milkybar White Chocolate Sharing Bar,,,,Milkybar,,,90.0,g,,True,,,{'bakery_type': ['white']},White Chocolate Sharing Bar,milkybar white chocolate sharing bar,27356,Milkybar,branded,True,False,food_cupboard,4,7168,branded,0.0
Sains,2.0,22.7,kg,Milkybar Bunny White Chocolate Easter Hollow Figure 88g,20240330,food_cupboard,False,False,Milkybar Bunny White Chocolate Easter Hollow Figure 88g,,,,Milkybar,,,88.0,g,,False,,,{'bakery_type': ['white']},Bunny White Chocolate Easter Hollow Figure,milkybar bunny white chocolate easter hollow figure,47437,Milkybar,branded,True,False,food_cupboard,4,7168,branded,0.0
Tesco,1.35,15.0,kg,Milkybar White Chocolate Sharing Bar 90g,20240413,food_cupboard,False,False,Milkybar White Chocolate Sharing Bar 90g,,,,Milkybar,,,90.0,g,,False,,,{'bakery_type': ['white']},White Chocolate Sharing Bar,milkybar white chocolate sharing bar,55225,Milkybar,branded,True,False,food_cupboard,4,7168,branded,0.0
