supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
ASDA,1.4,37.0,kg,Wrigley's Extra Cool Breeze Sugar Free Chewing Gum Sugar Free 3 x 9 Pieces,20240413,food_cupboard,False
Morrisons,4.5,2.3,l,Monster Energy Drink Ultra Fiesta Mango,20240413,drinks,False
Sains,5.5,30.6,kg,Sainsbury's Steamed ASC Scottish Salmon Portions x2 180g (Ready to eat),20240413,free-from,True
Morrisons,1.29,2.6,l,Grace Original Aloe Vera Juice Drink,20240413,food_cupboard,False
ASDA,1.0,18.0,kg,COOK by ASDA Chopped Garlic,20240413,food_cupboard,True
Tesco,2.5,9.5,kg,Nandos Peri Peri Quick Marinade Medium 262G,20240413,food_cupboard,False
Sains,2.25,64.3,kg,"Twinings Spiced Ginger Tea, 20 Tea Bags",20240413,food_cupboard,False
Tesco,1.25,31.2,kg,Simply Cook Creamy Tuscan Sausage Pasta R/Kit 40G,20240413,food_cupboard,False
Tesco,4.0,8.0,l,Belvoir Ginger Cordial 500Ml,20240413,drinks,False
Tesco,1.75,19.44,kg,Tesco Sugar Snap Peas And Sweet Chilli Dip 90G,20240412,fresh_food,True
Morrisons,2.6,7.0,kg,Bonne Maman Peach Conserve,20240413,food_cupboard,False
ASDA,2.3,0.14,unit,The BAKERY at ASDA Fluffy 16 Teacake Mini Bites,20240413,bakery,True
Sains,3.5,8.75,kg,"Black Farmer Premium Pork Sausages, Gluten Free x6 400g",20240413,food_cupboard,False
Tesco,3.0,7.5,kg,Merchant Gourmet Herby Mediterranean Vegetables & Couscous 400G,20240413,frozen,False
ASDA,3.0,7.5,kg,Lurpak Slightly Salted Spreadable 400g,20240413,fresh_food,False
Tesco,15.0,15.0,unit,Tesco Chocolate & Salted Caramel Drip Cake,20240413,bakery,True
Sains,1.25,1.3,l,Sainsbury's Pure Tomato Juice 1L,20240413,drinks,True
ASDA,2.0,6.7,kg,ASDA 6 Mini Hog Roast Pork Pies 300g,20240413,fresh_food,True
Tesco,3.0,6.82,kg,"Tesco Finest 4 Pork, Coastal Cheddar & Confit Onion Sausages 440g",20240413,fresh_food,True
Morrisons,2.15,2.9,l,Morrisons The Best Elderflower Presse,20240413,drinks,True
Sains,1.8,0.9,unit,"Sainsbury's Sweet Pointed Peppers, SO Organic x2 (Colours May Vary)",20240413,free-from,True
Morrisons,1.99,5.8,kg,Mackays Scottish Strawberry Preserve,20240413,food_cupboard,False
Sains,4.75,10.22,kg,"Sainsbury's Chicken Bacon Caesar, Taste the Difference 465g",20240411,fresh_food,True
Tesco,27.0,27.0,l,Jim Beam Kentucky Straight Bourbon Whiskey 1L,20240413,drinks,False
ASDA,3.2,10.7,kg,Sharwood's Plum Sauce,20240413,food_cupboard,False
Sains,1.25,12.5,kg,Ritter Sport Rum Raisin & Hazelnut 100g,20240413,food_cupboard,False
Sains,3.0,13.0,kg,Koh-Kae Peanuts Nori Wasabi Flavour Coated 230g,20240413,food_cupboard,False
Sains,1.5,13.64,kg,"Sainsbury's Mild Cheddar Slices with Cracked Black Pepper, Summer Edition 110g",20240413,free-from,True
Tesco,2.5,8.33,kg,The Spice Tailor Butter Chicken Mild Curry 300G,20240413,food_cupboard,False
Tesco,2.85,2.85,unit,Tesco Plant Chef Falafel Houmous Wrap,20240412,fresh_food,True
Sains,3.0,8.8,kg,Rowse Natural Blossom Honey Squeezy 340g,20240413,food_cupboard,False
ASDA,1.6,21.3,kg,Grace Exotic Chips Purple Sweet Potato 75g,20240413,food_cupboard,False
Tesco,1.75,8.75,kg,Tesco Chopped Mixed Nuts 200G,20240413,food_cupboard,True
Morrisons,1.88,1.88,unit,Morrisons Christmas Dundee Cake,20240207,bakery,True
Morrisons,5.99,5.99,unit,Vapes Bars Ghost Banana Ice 20mg,20240319,drinks,False
Tesco,0.65,0.6,l,Tesco Low Calorie Indian Tonic Water With Lime 1Ltr,20240413,drinks,True
ASDA,29.0,41.43,l,Glen Moray Speyside Single Malt Scotch Whisky Twisted Vine,20240413,drinks,False
Morrisons,7.0,6.98,l,Morrisons Manor Hall Fortif…,20240413,drinks,True
Tesco,1.0,19.0,kg,Tesco Ground Nutmeg 52G,20240413,food_cupboard,True
ASDA,4.25,14.17,kg,Shazans Smoked Salt & Pepper Lamb Sausages,20240413,fresh_food,False
Sains,2.5,3.3,l,Robinsons Orange 750ml,20240405,drinks,False
ASDA,2.3,9.2,kg,Goodfella's 2 Triple Cheese Pizza Pockets,20240413,frozen,False
ASDA,2.25,5.0,kg,ASDA Extra Special Roast Chicken Stock,20240413,food_cupboard,True
ASDA,1.25,6.2,kg,Santa Maria Hot Green Jalapeños,20240413,food_cupboard,False
ASDA,1.39,1.7,kg,The BAKERY at ASDA Bake at Home Tiger Bloomer,20240413,bakery,True
ASDA,1.5,3.8,l,Łowicz Cherry Sour Syrup 400ml,20240413,food_cupboard,False
Sains,1.75,6.0,kg,Levi Roots Reggae Reggae Jerk BBQ Sauce 290g,20240413,food_cupboard,False
Sains,0.8,2.4,l,Tropical Sun American Style Root Beer 330ml (Sugar levy applied),20240413,food_cupboard,False
ASDA,2.15,6.5,l,Innocent Plus Berry Set Go Raspberry & Cherry Juice 330ml,20240413,fresh_food,False
Morrisons,2.39,2.39,unit,Cadbury Dairy Milk Cornfl…,20240320,bakery,False
ASDA,10.0,10.0,unit,Contigo Ashland Water Bottle,20240413,drinks,False
