cluster_id,supermarkets,product_names,unit_value,unit_type,category,tier,is_known_brand,known_brand,price_min,price_max,price_mean,product_count,supermarket_count,price_range
17039,"Morrisons,Sains,Tesco","['Grace Original Aloe Vera Juice Drink', 'Grace Aloe Vera Drink Original', 'Grace Aloe Vera Drink']",-1.0,none,food_cupboard,none,False,none,1.29,1.3,1.2966666666666666,3,3,0.010000000000000009
17040,"Morrisons,Tesco","['Lisner Herring Wijskie Fillets', 'Lisner Matjas Herring Fillets']",-1.0,none,food_cupboard,none,False,none,2.7,3.25,2.975,2,2,0.5499999999999998
17041,"Morrisons,Tesco","['Serge Peanut Punch Milk Drink', 'Serge Island Peanut Punch']",-1.0,none,food_cupboard,none,False,none,1.0,1.0,1.0,2,2,0.0
17043,"Morrisons,Sains","['Bebeto Fizzy Watermelons', 'Fizzy Watermelons']",-1.0,none,food_cupboard,none,False,none,1.0,1.35,1.175,2,2,0.3500000000000001
17044,"Morrisons,Sains",['Squid Brand Fish Sauce'],-1.0,none,food_cupboard,none,False,none,2.4,2.4,2.4,2,2,0.0
17046,"Morrisons,Sains,Tesco","['Baldwins Original Sarsaparilla', 'Baldwins Sarsaparilla (Sugar levy applied)', 'Baldwins Sarsaparilla']",-1.0,none,food_cupboard,none,False,none,2.0,2.15,2.1,3,3,0.1499999999999999
17047,"Morrisons,Tesco","['Krakus Kabanos Smoked Pork Snack', 'Krakus Polish Smoked Pork Snack']",-1.0,none,food_cupboard,none,False,none,2.6,2.99,2.795,2,2,0.3900000000000001
17048,"Morrisons,Sains","[""Nash's Red Lemonade"", 'Nash Red Lemonade']",-1.0,none,food_cupboard,none,False,none,1.59,1.6,1.5950000000000002,2,2,0.010000000000000009
17049,"Morrisons,Sains,Tesco","['Regal Siprus Finest Mango', 'Regal Siprus Basil Seed Drink Mango', 'Regal Finest Mango Juice']",-1.0,none,food_cupboard,none,False,none,1.15,2.99,2.013333333333333,3,3,1.8400000000000003
17050,"Morrisons,Sains,Tesco","['Fudco Roasted & Salted Jumbo Pistachios', 'Dry Roasted Jumbo Peanuts', 'Aasani Roasted & Salted Jumbo Pistachios']",-1.0,none,food_cupboard,none,False,none,1.2,7.35,4.18,3,3,6.1499999999999995
17051,"Morrisons,Sains","['Tahira Garlic & Herbs Chicken Grills', 'Garlic Chicken Kyivs']",-1.0,none,food_cupboard,none,False,none,1.35,3.25,2.3,2,2,1.9
17052,"Morrisons,Sains,Tesco","['Tymbark Apple Cherry Drink', 'Tymbark Apple & Mint Drink', 'Tymbark Cherry & Apple Nectar Drink']",-1.0,none,food_cupboard,none,False,none,0.7,2.55,1.5166666666666666,3,3,1.8499999999999999
17053,"Morrisons,Tesco",['Tropical Vibes Lemonade Ocean Blue'],-1.0,none,food_cupboard,none,False,none,1.0,1.0,1.0,2,2,0.0
17054,"Morrisons,Tesco","['Telma Kneidl Matzo Ball Mix', 'Telma Matzo Ball Mix']",-1.0,none,food_cupboard,none,False,none,1.79,2.2,1.995,2,2,0.41000000000000014
17056,"Morrisons,Tesco","['Nido Instant Full Cream Milk Powder Tin', 'Tropical Sun Instant Full Cream Milk Powder']",-1.0,none,food_cupboard,none,False,none,4.5,12.89,8.695,2,2,8.39
17057,"Morrisons,Sains","['Greenfields Falafel Mix', 'Osem Falafel Mix']",-1.0,none,food_cupboard,none,False,none,2.25,2.3,2.275,2,2,0.04999999999999982
17058,"Morrisons,Tesco",['Osem Mini Croutons'],-1.0,none,food_cupboard,none,False,none,2.49,2.5,2.495,2,2,0.009999999999999787
17059,"Morrisons,Tesco","['Lubella Poznanska Flour', 'LUBELLA FLUFFY POZNAN FLOUR']",-1.0,none,food_cupboard,none,False,none,1.1,1.5,1.3,2,2,0.3999999999999999
17060,"Morrisons,Sains,Tesco","['Regal Siprus Finest Pink Guava', 'Regal Siprus Pink Guava Nectar', 'Regal Siprus Pink Guava Nectar 2 Litres']",-1.0,none,food_cupboard,none,False,none,2.75,3.0,2.9133333333333336,3,3,0.25
17061,"Morrisons,Tesco","['Regal Soonfi Cake Rusk', 'Regal Soonfi Cake Rusks 18 Pieces']",-1.0,none,food_cupboard,none,False,none,2.35,2.5,2.425,2,2,0.1499999999999999
17062,"Morrisons,Sains","['Krasnystaw Jogus Drinking Yoghurt Blueberry', 'Krasnystaw Kefir']",-1.0,none,food_cupboard,none,False,none,1.2,1.35,1.275,2,2,0.15000000000000013
17063,"Morrisons,Sains","['Nem Viet Vietnamese Spring Roll Kit', 'Nem Viet Vietnamese Summer Roll Kit']",-1.0,none,food_cupboard,none,False,none,3.25,3.5,3.375,2,2,0.25
17064,"Morrisons,Tesco","['Tymbark Multifruit Carrot Drink', 'Tymbark Multifruit Drink']",-1.0,none,food_cupboard,none,False,none,1.3,2.75,2.025,2,2,1.45
