idx_a,idx_b,retailer_a,retailer_b,name_a,name_b,similarity,size_ratio,category
16473,63662,ASDA,Tesco,Maltesers Chocolate Bunny Extra Large Easter Egg,Maltesers Milk Chocolate Bunny Extra Large Easter Egg 236g,0.946,1.144,food_cupboard
34800,57741,Sains,Tesco,Doritos Cool Grab Original Tortilla Chip Crisps 48g,Doritos Tortilla Chips Cool Original Grab Bag Crisps 48g,0.945,1.0,food_cupboard
31741,52164,Sains,Tesco,Nestle Shredded Wheat Bitesize Cereal 720g,Nestlé Shredded Wheat Bitesize Cereal 720g,0.945,1.0,food_cupboard
11598,60752,ASDA,Tesco,Simply Cook Spicy Prawn Pasta Recipe Kit 43g,Simply Cook Spicy Prawns Pasta Recipe Kit 43G,0.944,1.0,food_cupboard
18445,61153,Morrisons,Tesco,Morrisons Unsalted British Butter,Tesco British Unsalted Butter 250G,0.944,1.0,fresh_food
43336,52146,Sains,Tesco,Sainsbury's Lemons Unwaxed minimum 5,Tesco Organic Unwaxed Lemons Minimum 3 Pack,0.943,,fresh_food
2302,54124,ASDA,Tesco,Dr. Oetker Number Two Candle,Dr. Oetker Number 0 Candle,0.943,,food_cupboard
26046,46497,Morrisons,Sains,Mr Kipling Angel Slices,Mr Kipling Angel Cake Slices x6,0.942,,bakery
3258,28865,ASDA,Morrisons,Cadbury Timeout Wafer Orange 6x,Cadbury Timeout Chocolate Orange Wafer…,0.94,1.167,food_cupboard
5063,57200,ASDA,Tesco,JUST ESSENTIALS by ASDA Cooked & Peeled Prawns,Tesco Cooked & Peeled Prawns 300G,0.94,1.2,frozen
10740,25888,ASDA,Morrisons,Warburtons White Milk Roll Bread,Warburtons Milk Roll Bread,0.94,1.0,bakery
30345,56658,Morrisons,Tesco,Thorntons Chocolate Celebration Cake,Thorntons Celebration Cake,0.937,,bakery
40788,51031,Sains,Tesco,Fever-Tree Sparkling Mexican Lime 4x250ml,Fever-Tree Light Sparkling Mexican Lime 4X250ml,0.937,1.0,drinks
22943,33522,Morrisons,Sains,Bare Naked Noodles,Bare Naked Noodles 250g,0.936,1.2,food_cupboard
20740,34442,Morrisons,Sains,Kettle Chips Lightly Salted Multipack Crisps,Kettle Chips Lightly Salted Multipack Crisps 5x25g,0.936,1.2,food_cupboard
48488,64209,Sains,Tesco,Cadbury Dairy Milk Caramel Chocolate Brownie 400g,Cadbury Dairy Milk Chocolate Brownie 400g,0.936,1.0,frozen
28656,63897,Morrisons,Tesco,Morrisons Bird Eye Chillies,Tesco Bird Eye Chillies 25G,0.936,1.2,fresh_food
38689,49662,Sains,Tesco,Diet Pepsi Cans 8x330ml,Diet Pepsi Cola Cans 8x330ml,0.936,1.0,drinks
21055,64134,Morrisons,Tesco,Schwartz A Mix Beef Stroganoff,Schwartz Beef Stroganoff 35g,0.936,1.0,food_cupboard
834,52981,ASDA,Tesco,ASDA Caesar Salad Kit,Tesco Caesar Salad Kit 250G,0.936,1.19,fresh_food
2261,34050,ASDA,Sains,ASDA Chopped Almonds,Sainsbury's Almonds Chopped 100g,0.934,1.0,food_cupboard
10791,52255,ASDA,Tesco,St Pierre 4 Brioche Burger Buns,St. Pierre 4 Sliced Brioche Burger Buns,0.934,,bakery
15230,62299,ASDA,Tesco,ASDA Fresh Live Scottish Mussels 1kg,Tesco Finest Live Scottish Mussels 1Kg,0.934,1.0,fresh_food
7668,50351,ASDA,Tesco,Crosse & Blackwell Cream of Roast Chicken 400g,Crosse And Blackwell Cream Of Roast Chicken Soup 400G,0.933,1.0,food_cupboard
48306,51515,Sains,Tesco,Mr Kipling Bramley Apple Pies x6,Mr Kipling Bramley Apple Pies 6 Pack,0.932,,bakery
10960,46587,ASDA,Sains,Mr Kipling Chocolate Cake Slices,Mr Kipling Chocolate Cake Slices x8,0.931,,bakery
2220,61190,ASDA,Tesco,ASDA Vanilla Cupcake Kit 290g,Tesco Vanilla Cupcake Mix 290G,0.93,1.0,food_cupboard
41288,50585,Sains,Tesco,Pepsi Max Mango No Sugar Cola Bottle 500ml,Pepsi Max No Sugar Cola Bottle 500ml,0.93,1.0,drinks
46501,53347,Sains,Tesco,Sainsbury's Belgian Buns x2,Tesco 2 Belgian Buns,0.93,,bakery
