ensemble_cluster_id,cluster_size,conflict_type,conflict_token,retailer_a,retailer_b,name_a,name_b
3987,4,one_sided,reduced,ASDA,Morrisons,ASDA 40% Less Fat Salad Cheese 200g,Morrisons 50% Reduced Fat Plain Soft Cheese
3987,4,one_sided,reduced,Morrisons,Sains,Morrisons 50% Reduced Fat Plain Soft Cheese,Sainsbury's Somerset Brie Cheese 230g
3987,4,one_sided,reduced,Morrisons,Tesco,Morrisons 50% Reduced Fat Plain Soft Cheese,Tesco 50% Less Fat Soft Cheese 200G
4014,4,one_sided,smoky,ASDA,Morrisons,Applewood Vegan Smoky Cheese Alternative,Applewood Vegan Block
4014,4,one_sided,smoky,Morrisons,Sains,Applewood Vegan Block,Applewood Vegan Smoky Cheese Alternative 200g
4014,4,one_sided,smoky,Morrisons,Tesco,Applewood Vegan Block,Applewood Vegan Smoky Cheese Alternative 200G
4026,4,one_sided,smoky,ASDA,Morrisons,Violife Cheddarton Cheddar Cheese Alternative,Violife Smoky Cheddar Flavour Slices…
4026,4,one_sided,smoky,Morrisons,Sains,Violife Smoky Cheddar Flavour Slices…,Violife Cheddarton Cheddar Cheese Alternative
4026,4,one_sided,smoky,Morrisons,Tesco,Violife Smoky Cheddar Flavour Slices…,Violife Vegan Epic Mature Cheddar Flavoured Block 200G
4035,3,one_sided,smoky,ASDA,Sains,Applewood Creamy & Smoky Vegan Cheese Alternative Minis 75g,Sainsbury's Shaved Parmesan Cheese 80g
4035,3,one_sided,smoky,Morrisons,Sains,Applewood Creamy & Smoky…,Sainsbury's Shaved Parmesan Cheese 80g
4040,4,one_sided,smoky,ASDA,Morrisons,Violife Smoky Cheddar Flavour Slices,Violife Epic Mature Cheddar Flavour Block
4040,4,one_sided,smoky,ASDA,Sains,Violife Smoky Cheddar Flavour Slices,Violife Epic Mature Cheddar Flavour Block Vegan Alternative to Cheese 200g
4040,4,one_sided,smoky,ASDA,Tesco,Violife Smoky Cheddar Flavour Slices,Free From Violife Sliced Cheese Alternative 200G
4056,4,one_sided,smoky,ASDA,Tesco,Applewood Vegan Slices,Applewood Smoky Vegan Cheese Alternative Grated 200G
4056,4,one_sided,smoky,Morrisons,Tesco,Applewood Vegan Slices,Applewood Smoky Vegan Cheese Alternative Grated 200G
4056,4,one_sided,smoky,Sains,Tesco,Applewood Vegan Slices 200g,Applewood Smoky Vegan Cheese Alternative Grated 200G
4163,4,one_sided,smoky,ASDA,Morrisons,ASDA Smoky Pea & Ham Soup 400g,Morrisons Pea & Ham Soup
4163,4,one_sided,smoky,ASDA,Sains,ASDA Smoky Pea & Ham Soup 400g,Sainsbury's Pea & Ham Soup 400g
4163,4,one_sided,smoky,ASDA,Tesco,ASDA Smoky Pea & Ham Soup 400g,Tesco Pea And Ham Soup 400G
4304,4,one_sided,smoky,ASDA,Morrisons,ASDA Mackerel Fillets in a Sweet and Smoky Barbecue Sauce,Morrisons Mackerel Fillets In T…
4304,4,one_sided,smoky,ASDA,Sains,ASDA Mackerel Fillets in a Sweet and Smoky Barbecue Sauce,Sainsbury's Mackerel Fillets in Olive Oil 125g (90g*)
4304,4,one_sided,smoky,ASDA,Tesco,ASDA Mackerel Fillets in a Sweet and Smoky Barbecue Sauce,Princes Skinless Boneless Mackerel Fillets Mustard Sauce 125G
4391,3,one_sided,reduced,ASDA,Sains,Wall's Soft Scoop Light Vanilla Ice Cream,Wall's Soft Scoop Vanilla Light Reduced Fat Ice Cream Dessert Tub 1.8L
4391,3,one_sided,reduced,Sains,Tesco,Wall's Soft Scoop Vanilla Light Reduced Fat Ice Cream Dessert Tub 1.8L,Walls Soft Scoop Vanilla Light Ice Cream Tub 1800ml
4529,4,one_sided,reduced,ASDA,Morrisons,ASDA 70% Reduced Fat Salad Cream 420g,Morrisons Salad Cream
4529,4,one_sided,reduced,ASDA,Sains,ASDA 70% Reduced Fat Salad Cream 420g,Sainsbury's Salad Cream 420g
4529,4,one_sided,reduced,ASDA,Tesco,ASDA 70% Reduced Fat Salad Cream 420g,Tesco Salad Cream 450Ml
4547,4,named_flavour_clash,"ketchup,mango vs thai",ASDA,Morrisons,Leon Mango’ed Ketchup,Loma Linda Thai Green Curry (284g)
4547,4,named_flavour_clash,"thai vs ketchup,mango",Morrisons,Sains,Loma Linda Thai Green Curry (284g),LEON Mango’ed Ketchup 275g
4547,4,named_flavour_clash,thai vs ketchup,Morrisons,Tesco,Loma Linda Thai Green Curry (284g),Ainsley Harriot Curried Red Pepper Ketchup 280G
4576,3,named_flavour_clash,apple vs satay,ASDA,Tesco,Ocean Spray Apple Sauce,Tesco Satay Dipping Sauce 180G
4576,3,named_flavour_clash,apple vs satay,Sains,Tesco,Ocean Spray Apple Sauce 210g,Tesco Satay Dipping Sauce 180G
4690,4,named_flavour_clash,cajun vs jerk,ASDA,Tesco,Cape Herb & Spice Rub Louisiana Cajun Seasoning,Cape Herb & Spice Rub Caribbean Jerk Seasoning 100g
4690,4,named_flavour_clash,cajun vs jerk,Morrisons,Tesco,Cape Herb & Spice Rub Louisiana Cajun Seasoning,Cape Herb & Spice Rub Caribbean Jerk Seasoning 100g
4858,4,one_sided,smoky,ASDA,Morrisons,Schwartz Smoky Cajun Seasoning,Schwartz Moroccan Seasoning
4858,4,one_sided,smoky,ASDA,Tesco,Schwartz Smoky Cajun Seasoning,Schwartz Moroccan Seasoning 40g
4858,4,one_sided,smoky,Morrisons,Sains,Schwartz Moroccan Seasoning,"Sainsbury's Mild & Smoky BBQ, Inspired to Cook 44g"
4858,4,one_sided,smoky,Sains,Tesco,"Sainsbury's Mild & Smoky BBQ, Inspired to Cook 44g",Schwartz Moroccan Seasoning 40g
4870,4,named_flavour_clash,jerk vs cajun,ASDA,Tesco,Cape Herb & Spice Rub Caribbean Jerk Seasoning,Cape Herb & Spice Rub Louisiana Cajun Seasoning 100g
4891,4,one_sided,smoky,ASDA,Tesco,ASDA Onion Relish,Tesco Fire Pit Smoky Onion Relish 300G
4891,4,one_sided,smoky,Morrisons,Tesco,Morrisons Onion Relish (300g),Tesco Fire Pit Smoky Onion Relish 300G
4891,4,one_sided,smoky,Sains,Tesco,Sainsbury's Onion Relish 320g,Tesco Fire Pit Smoky Onion Relish 300G
4894,4,one_sided,smoky,ASDA,Morrisons,Cape Herb & Spice Chipotle Chilli Smoky Southwestern Seasoning,Cape Herb & Spice Chipotle Chilli S…
4894,4,one_sided,smoky,ASDA,Tesco,Cape Herb & Spice Chipotle Chilli Smoky Southwestern Seasoning,Crespo Olives With Chilli Pepper 70G
4894,4,one_sided,smoky,Morrisons,Sains,Cape Herb & Spice Chipotle Chilli S…,Cape Herb & Spice Chipotle Chilli Smoky Southwestern Seasoning 80g
4894,4,one_sided,smoky,Sains,Tesco,Cape Herb & Spice Chipotle Chilli Smoky Southwestern Seasoning 80g,Crespo Olives With Chilli Pepper 70G
4902,4,named_flavour_clash,teriyaki vs jerk,ASDA,Morrisons,Very Lazy Teriyaki Paste,Very Lazy Jerk Paste
4902,4,named_flavour_clash,teriyaki vs jerk,ASDA,Tesco,Very Lazy Teriyaki Paste,Very Lazy Jerk Paste 120G
4902,4,named_flavour_clash,jerk vs teriyaki,Morrisons,Sains,Very Lazy Jerk Paste,Very Lazy Teriyaki Paste 120g
4902,4,named_flavour_clash,teriyaki vs jerk,Sains,Tesco,Very Lazy Teriyaki Paste 120g,Very Lazy Jerk Paste 120G
